returnModelSpace	从族编辑器返回
YJKSPRE_TOWER_AUTO	根据计算参数自动划分多塔
YJKSPRE_TOWER_INPUTAREA	人工逐层划分多塔
YJKSPRE_TOWER_CLEAR	将多塔和楼层属性菜单中的所有交互指定数据清空
YJKSPRE_TOWER_ADDAREA	在某一楼层上用围区作塔号合并的操作
YJKSPRE_TOWER_CUTAREA	<RcImage Name="RCDATA_402" />       </MenuMacro>       <MenuMacro UID="ID_SPRE_TOWER_ZHEDANG">         <Command>YJKSPRE_TOWER_ZHEDANG</Command>         <HelpString UID="XLS_0000">指定设缝多塔结构的背风面
YJKSPRE_TOWER_CLEARSHADE	删除本层或全楼的遮挡定义数据
YJKSPRE_TOWER_CHECK	<RcImage Name="RCDATA_466" />       </MenuMacro>       <MenuMacro UID="ID_SPRE_TOWERE_ELEV">         <Command>YJKSPRE_TOWER_ELEV</Command>         <HelpString UID="XLS_0000">用圆圈串方式显示多塔划分状况
YJKSPRE_TOWER_TOWNO	对某些层修改自动划分形成的塔号
YJKSPRE_TOWER_TOWH	修改各层各塔的塔高
YJKSPRE_TOWER_INPUTSPLITAREA	修改多塔取大时单塔模型在某层的拆分范围
YJKSPRE_TOWER_DELSPLITAREA	删除多塔取大时单塔模型在某层的拆分范围
YJKSPRE_TOWER_PICKAFRAME	选取需要单榀二维计算的轴线
YJKSPRE_TOWER_DELAFRAME	删除输入的单榀计算轴线
YJKSPRE_TOWER_3D	用层拉伸体组成的三维模型显示多塔划分结果及楼层各种属性
YJKSPRE_TOWER_PARA	对各塔设置不同的结构属性
YJKSPRE_TOWER_TOWMAT	<RcImage Name="RCDATA_449" />       </MenuMacro>       <MenuMacro UID="ID_SPRE_TOWERE_TOWJQ">         <Command>YJKSPRE_TOWER_TOWJQ</Command>         <HelpString UID="XLS_0000">交互指定加强层
YJKSPRE_TOWER_TOWDBJQ	交互指定底部加强区
YJKSPRE_TOWER_TOWYBZ	交互指定需设置约束边缘构件的楼层
YJKSPRE_TOWER_TOWGDC	交互指定过渡层
YJKSPRE_TOWER_TOWXTL	交互指定结构顶部突出屋面的小塔楼
YJKSPRE_TOWER_TOWROOF	交互指定结构主要屋面所在楼层
YJKSPRE_TOWER_RESETPROP	重置楼层属性及各层材料信息
YJKSPRE_TOWER_AUTOSGCX	按程序默认规则自动刷新施工模拟次序
YJKSPRE_TOWER_SETSGCX	手工合并或拆分楼层施工模拟次序
YJKSPRE_TOWER_SETSGCXGJ	指定单构件的施工模拟次序
YJKSPRE_TOWER_SETSGCXLIST	表格方式修改施工模拟次序
YJKSPRE_TOWER_TOWCOLUMNC	修改指定塔指定楼层的柱混凝土强度等级
YJKSPRE_TOWER_TOWBEAMC	修改指定塔指定楼层的梁混凝土强度等级
YJKSPRE_TOWER_TOWWALLC	修改指定塔指定楼层的墙混凝土强度等级
YJKSPRE_TOWER_TOWBRACEC	修改指定塔指定楼层的斜杆混凝土强度等级
YJKSPRE_TOWER_TOWSLABC	修改指定塔指定楼层的楼板混凝土强度等级
YJKSPRE_TOWER_TOWCOLUMNS	修改指定塔指定楼层的钢构件钢号
YJKSPRE_TOWER_TOWBEAMS	修改指定塔指定楼层的钢构件钢号
YJKSPRE_TOWER_TOWSTEEL	修改指定塔指定楼层的钢构件钢号
YJKSPRE_TOWER_TOWBRACES	修改指定塔指定楼层的钢构件钢号
YJKSPRE_TOWER_TOWWALLS	修改指定塔指定楼层的钢构件钢号
YJKSPRE_TOWER_MATDLG	统一修改各塔各层构件材料
YJKSPRE_TOWER_ENVFLR	指定需要进行包络设计的楼层
YJKSPRE_TOWER_ENVCOMP	指定需要进行包络设计的构件
YJKSPRE_TOWER_ENVCOMPDEL	删除已指定的包络设计构件
YJKSPRE_TOWER_ENVCLEAR	清除已指定的包络设计构件信息
YJKSPRE_SPWINDAUTO	<HelpRef>前处理帮助\前处理风荷载</HelpRef>         <RcImage Name="RCDATA_490" />       </MenuMacro>       <MenuMacro UID="ID_SPRE_WIND_AUTOGF">         <Command>YJKSPRE_SPWINDAUTOGF</Command>         <HelpString UID="XLS_0000"/>         <HelpRef>前处理帮助\前处理风荷载</HelpRef>         <RcImage Name="RCDATA_490" />       </MenuMacro>       <MenuMacro UID="ID_SPRE_WIND_AUTO+X">         <Command>YJKSPRE_WIND_AUTO+X</Command>         <HelpString UID="XLS_0000"/>         <HelpRef>前处理帮助\前处理风荷载</HelpRef>         <RcImage Name="RCDATA_584" />       </MenuMacro>       <MenuMacro UID="ID_SPRE_WIND_AUTO-X">         <Command>YJKSPRE_WIND_AUTO-X</Command>         <HelpString UID="XLS_0000"/>         <HelpRef>前处理帮助\前处理风荷载</HelpRef>         <RcImage Name="RCDATA_585" />       </MenuMacro>       <MenuMacro UID="ID_SPRE_WIND_AUTO+Y">         <Command>YJKSPRE_WIND_AUTO+Y</Command>         <HelpString UID="XLS_0000"/>         <HelpRef>前处理帮助\前处理风荷载</HelpRef>         <RcImage Name="RCDATA_587" />       </MenuMacro>       <MenuMacro UID="ID_SPRE_WIND_AUTO-Y">         <Command>YJKSPRE_WIND_AUTO-Y</Command>         <HelpString UID="XLS_0000"/>         <HelpRef>前处理帮助\前处理风荷载</HelpRef>         <RcImage Name="RCDATA_586" />       </MenuMacro>       <MenuMacro UID="ID_SPRE_WIND_CUSTDIR">         <Command>YJKSPRE_WIND_CUSTDIR</Command>         <HelpString UID="XLS_0000"/>         <HelpRef>前处理帮助\前处理风荷载</HelpRef>       </MenuMacro>       <MenuMacro UID="ID_SPRE_WIND_BZDEL">         <Command>YJKSPRE_WIND_BZDEL</Command>         <HelpString UID="XLS_0000"/>         <HelpRef>前处理帮助\前处理风荷载</HelpRef>         <RcImage Name="RCDATA_ERASE" />       </MenuMacro>       <MenuMacro UID="ID_SPRE_WIND_HX">         <Command>YJKSPRE_WIND_DIRX</Command>         <HelpString UID="XLS_0000"/>         <RcImage Name="RCDATA_1308" />         <HelpRef>前处理帮助\前处理风荷载</HelpRef>       </MenuMacro>       <MenuMacro UID="ID_SPRE_WIND_HY">         <Command>YJKSPRE_WIND_DIRY</Command>         <HelpString UID="XLS_0000"/>         <RcImage Name="RCDATA_551" />         <HelpRef>前处理帮助\前处理风荷载</HelpRef>       </MenuMacro>       <MenuMacro UID="ID_SPRE_WIND_BEAMSET">         <Command>YJKSPRE_WIND_BEAMSET</Command>         <HelpString UID="XLS_0000"/>         <HelpRef>前处理帮助\前处理风荷载</HelpRef>         <RcImage Name="RCDATA_BEAMLOAD" />       </MenuMacro>       <MenuMacro UID="ID_SPRE_WIND_BEAMDEL">         <Command>YJKSPRE_WIND_BEAMDEL</Command>         <HelpString UID="XLS_0000"/>         <HelpRef>前处理帮助\前处理风荷载</HelpRef>         <RcImage Name="RCDATA_WALL_" />       </MenuMacro>       <MenuMacro UID="ID_SPRE_WIND_NODESET">         <Command>YJKSPRE_WIND_NODESET</Command>         <HelpString UID="XLS_0000"/>         <HelpRef>前处理帮助\前处理风荷载</HelpRef>         <RcImage Name="RCDATA_NODELOAD" />       </MenuMacro>       <MenuMacro UID="ID_SPRE_WIND_NODEDEL">         <Command>YJKSPRE_WIND_NODEDEL</Command>         <HelpString UID="XLS_0000"/>         <HelpRef>前处理帮助\前处理风荷载</HelpRef>         <RcImage Name="RCDATA_COLUMN_BEAM_ALIGN" />       </MenuMacro>       <MenuMacro UID="ID_SPRE_WIND_PDEVSET">         <Command>YJKSPRE_WIND_PDEVSET</Command>         <HelpString UID="XLS_0000"/>         <HelpRef>前处理帮助\前处理风荷载</HelpRef>         <RcImage Name="RCDATA_1309" />       </MenuMacro>       <MenuMacro UID="ID_SPRE_WIND_PDEVDEL">         <Command>YJKSPRE_WIND_PDEVDEL</Command>         <HelpString UID="XLS_0000"/>         <HelpRef>前处理帮助\前处理风荷载</HelpRef>         <RcImage Name="RCDATA_1310" />       </MenuMacro>       <MenuMacro UID="ID_SPRE_WIND_ALLDEL">         <Command>YJKSPRE_WIND_ALLDEL</Command>         <HelpString UID="XLS_0000"/>         <HelpRef>前处理帮助\前处理风荷载</HelpRef>         <RcImage Name="RCDATA_ERASE" />       </MenuMacro>       <MenuMacro UID="ID_SPRE_WIND_ROOMMU">         <Command>YJKSPRE_WIND_ROOMMU</Command>         <HelpString UID="XLS_0000"/>         <HelpRef>前处理帮助\前处理风荷载</HelpRef>         <RcImage Name="RCDATA_280" />       </MenuMacro>       <MenuMacro UID="ID_SPRE_CLMU_CLCY">         <Command>YJKSPRE_CLMU_CLCY</Command>         <HelpString UID="XLS_0000"/>         <HelpRef>前处理帮助\柱计算长度</HelpRef>         <RcImage Name="RCDATA_1311" />       </MenuMacro>       <MenuMacro UID="ID_SPRE_CLMU_CLNCY">         <Command>YJKSPRE_CLMU_CLNCY</Command>         <HelpString UID="XLS_0000"/>         <HelpRef>前处理帮助\柱计算长度</HelpRef>         <RcImage Name="RCDATA_1312" />       </MenuMacro>       <MenuMacro UID="ID_SPRE_CLMU_CLCYEX">         <Command>YJKSPRE_CLMU_CLNCYEX</Command>         <HelpString UID="XLS_0000"/>         <HelpRef>前处理帮助\柱计算长度</HelpRef>         <RcImage Name="RCDATA_1313" />       </MenuMacro>	         <MenuMacro UID="ID_SPRE_CLMU_BR">         <Command>YJKSPRE_CLMU_BR</Command>         <HelpString UID="XLS_0000"/>         <HelpRef>前处理帮助\柱计算长度</HelpRef>         <RcImage Name="RCDATA_1314" />       </MenuMacro>       <MenuMacro UID="ID_SPRE_CLMU_BE">         <Command>YJKSPRE_CLMU_BE</Command>         <HelpString UID="XLS_0000"/>         <HelpRef>前处理帮助\柱计算长度</HelpRef>         <RcImage Name="RCDATA_1315" />       </MenuMacro>       <MenuMacro UID="ID_SPRE_AHW_BE">         <Command>YJKSPRE_AHW_BE</Command>         <HelpString UID="XLS_0000"/>         <HelpRef>前处理帮助\柱计算长度</HelpRef>         <RcImage Name="RCDATA_238" />       </MenuMacro>       <MenuMacro UID="ID_SPRE_CLMU_ELEV">         <Command>YJKSPRE_CLMU_ELEV</Command>         <HelpString UID="XLS_0000"/>         <HelpRef>前处理帮助\柱计算长度</HelpRef>         <RcImage Name="RCDATA_240" />       </MenuMacro>       <MenuMacro UID="ID_SPRE_CLMU_WAH">         <Command>YJKSPRE_CLMU_WAH</Command>         <HelpString UID="XLS_0000"/>         <HelpRef>前处理帮助\柱计算长度</HelpRef>         <RcImage Name="RCDATA_WALL" />       </MenuMacro>       <MenuMacro UID="ID_SPRE_CLMU_RESET">         <Command>YJKSPRE_CLMU_RESET</Command>         <HelpString UID="XLS_0000"/>         <HelpRef>前处理帮助\柱计算长度</HelpRef>         <RcImage Name="RCDATA_ERASE" />       </MenuMacro>       <MenuMacro UID="ID_SPRE_TEMP_SETNODE">         <Command>YJKSPRE_TEMP_SETNODE</Command>         <HelpString UID="XLS_0000"/>         <HelpRef>前处理帮助\温度荷载定义</HelpRef>         <RcImage Name="RCDATA_1316" />       </MenuMacro>       <MenuMacro UID="ID_SPRE_TEMP_UNITEMP">         <Command>YJKSPRE_TEMP_UNITEMP</Command>         <HelpString UID="XLS_0000"/>         <HelpRef>前处理帮助\温度荷载定义</HelpRef>         <RcImage Name="RCDATA_328" />       </MenuMacro>       <MenuMacro UID="ID_SPRE_TEMP_SETGRAD">         <Command>YJKSPRE_TEMP_SETGRAD</Command>         <HelpString UID="XLS_0000"/>         <HelpRef>前处理帮助\温度荷载定义</HelpRef>         <RcImage Name="RCDATA_1318" />       </MenuMacro>       <MenuMacro UID="ID_SPRE_TEMP_AUTOGRAD">         <Command>YJKSPRE_TEMP_AUTOGRAD</Command>         <HelpString UID="XLS_0000"/>         <HelpRef>前处理帮助\温度荷载定义</HelpRef>         <RcImage Name="RCDATA_1319" />       </MenuMacro>       <MenuMacro UID="ID_SPRE_SHOWLCS">         <Command>YJKSPRE_SHOWLCS</Command>         <HelpString UID="XLS_0000"/>         <HelpRef>前处理帮助\温度荷载定义</HelpRef>         <RcImage Name="RCDATA_334" />       </MenuMacro>       <MenuMacro UID="ID_SPRE_TEMP_SHOWFIV">         <Command>YJKSPRE_TEMP_SHOWFIV</Command>         <HelpString UID="XLS_0000"/>         <HelpRef>前处理帮助\温度荷载定义</HelpRef>         <RcImage Name="RCDATA_BEAM" />       </MenuMacro>       <MenuMacro UID="ID_SPRE_TEMP_AUTOFIRE">         <Command>YJKSPRE_TEMP_AUTOFIRE</Command>         <HelpString UID="XLS_0000"/>         <HelpRef>前处理帮助\温度荷载定义</HelpRef>         <RcImage Name="RCDATA_1317" />       </MenuMacro>       <MenuMacro UID="ID_SPRE_TEMP_DELALL">         <Command>YJKSPRE_TEMP_DELALL</Command>         <HelpString UID="XLS_0000"/>         <HelpRef>前处理帮助\温度荷载定义</HelpRef>         <RcImage Name="RCDATA_ERASE" />       </MenuMacro>       <MenuMacro UID="ID_SPRE_LLCO_SETBEAM">         <Command>YJKSPRE_LLCO_SETBEAM</Command>         <HelpString UID="XLS_0000"/>         <HelpRef>前处理帮助\活荷折减</HelpRef>         <RcImage Name="RCDATA_BEAM"/>       </MenuMacro>       <MenuMacro UID="ID_SPRE_LLCO_SETCOLUMN">         <Command>YJKSPRE_LLCO_SETCOLUMN</Command>         <HelpString UID="XLS_0000"/>         <HelpRef>前处理帮助\活荷折减</HelpRef>         <RcImage Name="RCDATA_COLUMN"/>       </MenuMacro>       <MenuMacro UID="ID_SPRE_LLCO_SETBRACE">         <Command>YJKSPRE_LLCO_SETBRACE</Command>         <HelpString UID="XLS_0000"/>         <HelpRef>前处理帮助\活荷折减</HelpRef>         <RcImage Name="RCDATA_BRACE"/>       </MenuMacro>       <MenuMacro UID="ID_SPRE_LLCO_SETWALL">         <Command>YJKSPRE_LLCO_SETWALL</Command>         <HelpString UID="XLS_0000"/>         <HelpRef>前处理帮助\活荷折减</HelpRef>         <RcImage Name="RCDATA_WALL"/>       </MenuMacro>       <MenuMacro UID="ID_SPRE_LLCO_SETBEAMM">         <Command>YJKSPRE_LLCO_SETBEAMM</Command>         <HelpString UID="XLS_0000"/>         <HelpRef>前处理帮助\活荷折减</HelpRef>         <RcImage Name="RCDATA_BEAM"/>       </MenuMacro>       <MenuMacro UID="ID_SPRE_LLCO_SETCOLUMNM">         <Command>YJKSPRE_LLCO_SETCOLUMNM</Command>         <HelpString UID="XLS_0000"/>         <HelpRef>前处理帮助\活荷折减</HelpRef>         <RcImage Name="RCDATA_COLUMN"/>       </MenuMacro>       <MenuMacro UID="ID_SPRE_LLCO_SETBRACEM">         <Command>YJKSPRE_LLCO_SETBRACEM</Command>         <HelpString UID="XLS_0000"/>         <HelpRef>前处理帮助\活荷折减</HelpRef>         <RcImage Name="RCDATA_BRACE"/>       </MenuMacro>       <MenuMacro UID="ID_SPRE_LLCO_SETWALLM">         <Command>YJKSPRE_LLCO_SETWALLM</Command>         <HelpString UID="XLS_0000"/>         <HelpRef>前处理帮助\活荷折减</HelpRef>         <RcImage Name="RCDATA_WALL"/>       </MenuMacro>       <MenuMacro UID="ID_SPRE_LLCO_CLEARFLR">         <Command>YJKSPRE_LLCO_CLEARFLR</Command>         <HelpString UID="XLS_0000"/>         <HelpRef>前处理帮助\活荷折减</HelpRef>         <RcImage Name="RCDATA_ERASE"/>       </MenuMacro>       <MenuMacro UID="ID_SPRE_LLCO_CLEARALL">         <Command>YJKSPRE_LLCO_CLEARALL</Command>         <HelpString UID="XLS_0000"/>         <HelpRef>前处理帮助\活荷折减</HelpRef>         <RcImage Name="RCDATA_ERASE"/>       </MenuMacro>       <MenuMacro UID="ID_SPRE_GEN_GENDATA">         <Command>YJKSPRE_GENDATA</Command>         <HelpString UID="XLS_0000">生成计算所需数据并给出数据检查文件
