returnModelSpace	从族编辑器返回
YJKRecastModel_End	<HelpRef>退出导图</HelpRef>         <RcImage Name="RCDATA_466" />       </MenuMacro>       <MenuMacro UID="ID_YJKRecastModel_save">         <Command>YJKRecastModel_Save</Command>         <HelpString UID="XLS_0000"/>         <HelpRef>保存</HelpRef>         <RcImage Name="RCDATA_2" />       </MenuMacro>       <MenuMacro UID="ID_YJKRecastModel_CmdBnClickedCreatestdflrBtn">         <Command>yjkRecastModel_CmdBnClickedCreatestdflrBtn</Command>         <HelpString UID="XLS_0000"/>         <HelpRef>指定标准层范围</HelpRef>         <RcImage Name="RCDATA_278" />       </MenuMacro>       <MenuMacro UID="ID_YJKRecastModel_CmdBnClickedAddrefextentBtn">         <Command>yjkRecastModel_CmdBnClickedAddrefextentBtn</Command>         <HelpString UID="XLS_0000"/>         <HelpRef>添加借用范围</HelpRef>         <RcImage Name="RCDATA_278" />       </MenuMacro>       <MenuMacro UID="ID_YJKRecastModel_SBGJJM">         <Command>yjkRecastModel_SBGJJM</Command>         <HelpString UID="XLS_0000"/>         <HelpRef>识别钢构件截面表</HelpRef>         <RcImage Name="RCDATA_278" />       </MenuMacro>       <MenuMacro UID="ID_YJKRecastModel_XCXD">         <Command>yjkRecastModel_XCXD</Command>         <HelpString UID="XLS_0000"/>         <HelpRef>形成线对</HelpRef>         <RcImage Name="RCDATA_278" />       </MenuMacro>       <MenuMacro UID="ID_YJKRecastModel_SCXD">         <Command>yjkRecastModel_SCXD</Command>         <HelpString UID="XLS_0000"/>         <HelpRef>删除线对</HelpRef>         <RcImage Name="RCDATA_ERASE" />       </MenuMacro>       <MenuMacro UID="ID_YjkRecastModel_CmdBnClickedAnalysisGeoExData">         <Command>yjkRecastModel_CmdBnClickedAnalysisGeoExData</Command>         <HelpString UID="XLS_0000"/>         <HelpRef>生成地勘数据</HelpRef>         <RcImage Name="RCDATA_278" />       </MenuMacro>       <MenuMacro UID="ID_YjkRecastModel_CmdBnClickedAnalysisPlanGeoExData">         <Command>yjkRecastModel_CmdBnClickedAnalysisPlanGeoExData</Command>         <HelpString UID="XLS_0000"/>         <HelpRef>生成平面地勘数据</HelpRef>         <RcImage Name="RCDATA_1096" />       </MenuMacro>       <MenuMacro UID="ID_YjkRecastModel_CmdBnClickedAnalysisSecGeoExData">         <Command>yjkRecastModel_CmdBnClickedAnalysisSecGeoExData</Command>         <HelpString UID="XLS_0000"/>         <HelpRef>生成剖面地勘数据</HelpRef>         <RcImage Name="RCDATA_1097" />       </MenuMacro>       <MenuMacro UID="ID_YJKRecastModel_QUICKSELECT">         <Command>QUICKSELECT</Command>         <HelpString UID="XLS_0000"/>         <HelpRef>按特征快速选择</HelpRef>         <RcImage Name="RCDATA_278" />       </MenuMacro>       <MenuMacro UID="ID_yjk_lcyxxssetup">         <Command>yjk_lcyxxssetup</Command>         <HelpString UID="XLS_0000"/>         <RcImage Name="RCDATA_344" />       </MenuMacro>       <MenuMacro UID="ID_yjk_jgxxsetup">         <Command>yjk_jgxxsetup</Command>         <HelpString UID="XLS_0000"/>         <RcImage Name="RCDATA_452" />       </MenuMacro>       <MenuMacro UID="ID_yjk_arrange_column_jg">         <Command>yjk_arrange_column_jg</Command>         <HelpString UID="XLS_0000"/>         <HelpRef>模型输入\鉴定加固</HelpRef>         <RcImage Name="RCDATA_EDITHATCH" />       </MenuMacro>       <MenuMacro UID="ID_yjk_arrange_beam_jg">         <Command>yjk_arrange_beam_jg</Command>         <HelpString UID="XLS_0000"/>         <HelpRef>模型输入\鉴定加固</HelpRef>         <RcImage Name="RCDATA_BEAM" />       </MenuMacro>       <!--<MenuMacro UID="ID_yjk_pg">         <Command>yjk_jg_pg</Command>         <HelpString UID="XLS_0000"/>         <HelpRef>模型输入\鉴定加固</HelpRef>         <RcImage Name="RCDATA_317" />       </MenuMacro>       <MenuMacro UID="ID_yjk_sj">         <Command>yjk_jg_sj</Command>         <HelpString UID="XLS_0000"/>         <HelpRef>模型输入\鉴定加固</HelpRef>         <RcImage Name="RCDATA_317" />       </MenuMacro>-->       <MenuMacro UID="ID_yjk_FillerWall">         <Command>yjk_arrange_fillerwall</Command>         <HelpString UID="XLS_0000"/>         <HelpRef>上部建模帮助\增加隔墙填充墙布置功能</HelpRef>         <Description>在建立的轴网格线上布置墙构件。布置方式同梁布置。不同的是，墙体布置前需定义墙的厚度、材料属性。</Description>         <Iconograph>墙布置.gif</Iconograph>         <RcImage Name="RCDATA_692" />       </MenuMacro>         <MenuMacro UID="ID_yjk_fillerWall_toWall"> 	        <Command>yjk_fillerWall_toWall</Command> 	        <HelpString UID="XLS_0000"/> 	        <HelpRef>填充墙转墙</HelpRef> 	        <Description>填充墙转墙</Description> 	        <RcImage Name="RCDATA_692" />         </MenuMacro> 		       <MenuMacro UID="ID_yjk_fillerwall_line2p">         <Command>yjk_fillerwall_line2p</Command>         <HelpString UID="XLS_0000">用两点画线方式把墙连同它上面的轴线一起输入
yjk_fillerwall_arc3p	用三点画弧方式把墙连同它上面的轴线一起输入
yjk_fillerwall_arcsce	用起点、圆心、终点画弧方式把墙连同它上面的轴线一起输入
yjk_fillerwall_arcsca	用起点、圆心、夹角画弧方式把墙连同它上面的轴线一起输入
yjk_fillerwall_arccse	用圆心、起点、终点画弧方式把墙连同它上面的轴线一起输入
yjk_fillerwall_paralleline	用平行线方式把墙连同它上面的轴线一起输入
yjk_fillerwall_polygon	用连续线方式把墙连同它上面的轴线一起输入
yjk_fillerwall_rectangle	用矩形方式把墙连同它上面的轴线一起输入
yjk_fillerwall_ray	用射线方式把墙连同它上面的轴线一起输入
yjk_arrange_petrodevice	<HelpRef>上部建模帮助\上部建模\石化框架设备</HelpRef>         <RcImage Name="RCDATA_949" />       </MenuMacro>       <MenuMacro UID="ID_yjk_petrodeviceeditsupportnode">         <Command>yjk_petrodeviceeditsupportnode</Command>         <HelpString UID="XLS_0000">改变设备的传力点
