yjk_transjws	<RcImage Name="RCDATA_OPEN" />       </MenuMacro>       <MenuMacro UID="ID_yjk_delete_jg">         <Command>yjk_delete_jg</Command>         <HelpString UID="XLS_0000"/>         <HelpRef>Model Input\Identify and reinforce</HelpRef>         <RcImage Name="RCDATA_417" />       </MenuMacro>       <MenuMacro UID="ID_yjk_newjgzf">         <Command>yjk_newjgzf</Command>         <HelpString UID="XLS_0000"/>         <HelpRef>Model Input\Identify and reinforce</HelpRef>         <RcImage Name="RCDATA_EDITSPLINE" />       </MenuMacro>       <MenuMacro UID="ID_YJKRecastModel_open">         <Command>YJKRecastModel_Open</Command>         <HelpString UID="XLS_0000"/>         <HelpRef>Open file</HelpRef>         <RcImage Name="RCDATA_000" />       </MenuMacro>       <MenuMacro UID="ID_YJKRecastModel_activeref">         <Command>YJKRecastModel_ActiveRef</Command>         <HelpString UID="XLS_0000"/>         <HelpRef>Activata Reference Figure</HelpRef>         <RcImage Name="RCDATA_007" />       </MenuMacro>       <MenuMacro UID="ID_YJKRecastModel_setparam">         <Command>YJKRecastModel_SetParam</Command>         <HelpString UID="XLS_0000"/>         <HelpRef>Set Parameters</HelpRef>         <RcImage Name="RCDATA_301" />       </MenuMacro>       <MenuMacro UID="ID_YJKRecastModel_setjcparam">         <Command>YJKRecastModel_cmdbnclickedsetjcparambtn</Command>         <HelpString UID="XLS_0000"/>         <HelpRef>Set Parameters</HelpRef>         <RcImage Name="RCDATA_301" />       </MenuMacro>       <MenuMacro UID="ID_YJKRecastModel_basepoint">         <Command>YJKRecastModel_BasePoint</Command>         <HelpString UID="XLS_0000"/>         <HelpRef>Set Base Point</HelpRef>         <RcImage Name="RCDATA_337" />       </MenuMacro>       <MenuMacro UID="ID_YJKRecastModel_ShowElement">         <Command>YJKRecastModel_CmdShowElement</Command>         <HelpString UID="XLS_0000"/>         <HelpRef>Show Element</HelpRef>         <RcImage Name="RCDATA_277" />       </MenuMacro>       <MenuMacro UID="ID_YJKRecastModel_showlayer">         <Command>YJKRecastModel_ShowLayer</Command>         <HelpString UID="XLS_0000"/>         <HelpRef>Show Layer</HelpRef>         <RcImage Name="RCDATA_567" />       </MenuMacro>       <MenuMacro UID="ID_YJKRecastModel_hidelayer">         <Command>YJKRecastModel_HideLayer</Command>         <HelpString UID="XLS_0000"/>         <HelpRef>Hide Layer</HelpRef>         <RcImage Name="RCDATA_566" />       </MenuMacro>       <MenuMacro UID="ID_YJKRecastModel_alllayer">         <Command>YJKRecastModel_AllLayer</Command>         <HelpString UID="XLS_0000"/>         <HelpRef>All Layer</HelpRef>         <RcImage Name="RCDATA_561" />       </MenuMacro>       <MenuMacro UID="ID_YJKRecastModel_Showlocal">         <Command>YJKRecastModel_Showlocal</Command>         <HelpString UID="XLS_0000"/>         <HelpRef>Show Local</HelpRef>         <RcImage Name="RCDATA_567" />       </MenuMacro>       <MenuMacro UID="ID_YJKRecastModel_Hidelocation">         <Command>YJKRecastModel_Hidelocation</Command>         <HelpString UID="XLS_0000"/>         <HelpRef>Hide Location</HelpRef>         <RcImage Name="RCDATA_566" />       </MenuMacro>       <MenuMacro UID="ID_YJKRecastModel_Showwhole">         <Command>YJKRecastModel_Showwhole</Command>         <HelpString UID="XLS_0000"/>         <HelpRef>Show Whole</HelpRef>         <RcImage Name="RCDATA_567" />       </MenuMacro>       <MenuMacro UID="ID_YJKRecastModel_ShowModel">         <Command>YJKRecastModel_ShowHideModel</Command>         <HelpString UID="XLS_0000"/>         <HelpRef>Show Model</HelpRef>         <RcImage Name="RCDATA_277" />       </MenuMacro>       <MenuMacro UID="ID_YJKRecastModel_HideModel">         <Command>YJKRecastModel_ShowHideModel</Command>         <HelpString UID="XLS_0000"/>         <HelpRef>Hide Model</HelpRef>         <RcImage Name="RCDATA_566" />       </MenuMacro>       <MenuMacro UID="ID_YJKCAD_IMPORT_Undo">         <Command>yjkRecastModel_Undo</Command>         <HelpString UID="XLS_0000">Undo The Previous Action
yjkRecastModel_Redo	Redo The Previous Action
YJKRecastModel_End	<HelpRef>Exit map</HelpRef>         <RcImage Name="RCDATA_466" />       </MenuMacro>       <MenuMacro UID="ID_YJKRecastModel_save">         <Command>YJKRecastModel_Save</Command>         <HelpString UID="XLS_0000"/>         <HelpRef>Save</HelpRef>         <RcImage Name="RCDATA_2" />       </MenuMacro>       <MenuMacro UID="ID_YJKRecastModel_CmdBnClickedCreatestdflrBtn">         <Command>yjkRecastModel_CmdBnClickedCreatestdflrBtn</Command>         <HelpString UID="XLS_0000"/>         <HelpRef>Specify The Scope Of The Standard Layer</HelpRef>         <RcImage Name="RCDATA_278" />       </MenuMacro>       <MenuMacro UID="ID_YJKRecastModel_CmdBnClickedAddrefextentBtn">         <Command>yjkRecastModel_CmdBnClickedAddrefextentBtn</Command>         <HelpString UID="XLS_0000"/>         <HelpRef>Add Ref Extent</HelpRef>         <RcImage Name="RCDATA_278" />       </MenuMacro>       <MenuMacro UID="ID_YJKRecastModel_SBGJJM">         <Command>yjkRecastModel_SBGJJM</Command>         <HelpString UID="XLS_0000"/>         <HelpRef>Identify The Steel Member Section Table</HelpRef>         <RcImage Name="RCDATA_278" />       </MenuMacro>       <MenuMacro UID="ID_YJKRecastModel_XCXD">         <Command>yjkRecastModel_XCXD</Command>         <HelpString UID="XLS_0000"/>         <HelpRef>FormWire Pair</HelpRef>         <RcImage Name="RCDATA_278" />       </MenuMacro>       <MenuMacro UID="ID_YJKRecastModel_SCXD">         <Command>yjkRecastModel_SCXD</Command>         <HelpString UID="XLS_0000"/>         <HelpRef>DeleteWire Pair</HelpRef>         <RcImage Name="RCDATA_ERASE" />       </MenuMacro>       <MenuMacro UID="ID_YjkRecastModel_CmdBnClickedAnalysisGeoExData">         <Command>yjkRecastModel_CmdBnClickedAnalysisGeoExData</Command>         <HelpString UID="XLS_0000"/>         <HelpRef>Generate Geological Survey Data</HelpRef>         <RcImage Name="RCDATA_278" />       </MenuMacro>       <MenuMacro UID="ID_YjkRecastModel_CmdBnClickedAnalysisPlanGeoExData">         <Command>yjkRecastModel_CmdBnClickedAnalysisPlanGeoExData</Command>         <HelpString UID="XLS_0000"/>         <HelpRef>Generate planar geological survey data</HelpRef>         <RcImage Name="RCDATA_1096" />       </MenuMacro>       <MenuMacro UID="ID_YjkRecastModel_CmdBnClickedAnalysisSecGeoExData">         <Command>yjkRecastModel_CmdBnClickedAnalysisSecGeoExData</Command>         <HelpString UID="XLS_0000"/>         <HelpRef>Generate profile geological survey data</HelpRef>         <RcImage Name="RCDATA_1097" />       </MenuMacro>       <MenuMacro UID="ID_YJKRecastModel_QUICKSELECT">         <Command>QUICKSELECT</Command>         <HelpString UID="XLS_0000"/>         <HelpRef>Quick Selection By Feature</HelpRef>         <RcImage Name="RCDATA_278" />       </MenuMacro>       <MenuMacro UID="ID_yjk_lcyxxssetup">         <Command>yjk_lcyxxssetup</Command>         <HelpString UID="XLS_0000"/>         <RcImage Name="RCDATA_344" />       </MenuMacro>       <MenuMacro UID="ID_yjk_jgxxsetup">         <Command>yjk_jgxxsetup</Command>         <HelpString UID="XLS_0000"/>         <RcImage Name="RCDATA_452" />       </MenuMacro>       <MenuMacro UID="ID_yjk_arrange_column_jg">         <Command>yjk_arrange_column_jg</Command>         <HelpString UID="XLS_0000"/>         <HelpRef>Model Input\Identify and reinforce</HelpRef>         <RcImage Name="RCDATA_EDITHATCH" />       </MenuMacro>       <MenuMacro UID="ID_yjk_arrange_beam_jg">         <Command>yjk_arrange_beam_jg</Command>         <HelpString UID="XLS_0000"/>         <HelpRef>Model Input\Identify and reinforce</HelpRef>         <RcImage Name="RCDATA_BEAM" />       </MenuMacro>       <MenuMacro UID="ID_yjk_arrange_steel_jg">         <Command>yjk_arrange_steel_jg</Command>         <HelpString UID="XLS_0000"/>         <HelpRef>Model Input\Identify and reinforce</HelpRef>         <RcImage Name="RCDATA_1211" />       </MenuMacro>       <MenuMacro UID="ID_yjk_jgdefaultpara">         <Command>yjk_jdjgpara</Command>         <HelpString UID="XLS_0000"/>         <HelpRef>Model Input\Identify and reinforce</HelpRef>         <RcImage Name="RCDATA_452" />       </MenuMacro>       <!--<MenuMacro UID="ID_yjk_pg">         <Command>yjk_jg_pg</Command>         <HelpString UID="XLS_0000"/>         <HelpRef>Model Input\Identify and reinforce</HelpRef>         <RcImage Name="RCDATA_317" />       </MenuMacro>       <MenuMacro UID="ID_yjk_sj">         <Command>yjk_jg_sj</Command>         <HelpString UID="XLS_0000"/>         <HelpRef>Model Input\Identify and reinforce</HelpRef>         <RcImage Name="RCDATA_317" />       </MenuMacro>-->       <MenuMacro UID="ID_yjk_FillerWall">         <Command>yjk_arrange_fillerwall</Command>         <HelpString UID="XLS_0000"/>         <HelpRef>Superstructure Modeling Help\Add the layout function of partition wall and infilled wall</HelpRef>         <Description>The axial grid is built on the wall.Layout is like the beam. In contrast, the thickness and material properties of the wall should be defined before the walls are arranged. </Description>         <Iconograph>layout_wall.gif</Iconograph>         <RcImage Name="RCDATA_2377" />       </MenuMacro>       <MenuMacro UID="ID_yjk_fillerWall_toWall">         <Command>yjk_fillerWall_toWall</Command>         <HelpString UID="XLS_0000"/>         <HelpRef>Change The Filling Wall To The Wall </HelpRef>         <Description>Change The Filling Wall To The Wall</Description>         <RcImage Name="RCDATA_2383" />       </MenuMacro>       <MenuMacro UID="ID_yjk_fillerwall_line2p">         <Command>yjk_fillerwall_line2p</Command>         <HelpString UID="XLS_0000">Draw the wall and its axis with two lines
yjk_fillerwall_arc3p	Draw the wall and its axis with three-point arc method
yjk_fillerwall_arcsce	Draw the wall and its axis with starting point,center and end point method
yjk_fillerwall_arcsca	Draw the wall and its axis with starting point,center and angle method
yjk_fillerwall_arccse	Draw the wall and its axis with center,starting point and end point method
yjk_fillerwall_paralleline	Draw the wall and its axis with parallel lines method
yjk_fillerwall_polygon	Draw the wall and its axis with continuous lines method
yjk_fillerwall_rectangle	Draw the wall and its axis with rectangular method
yjk_fillerwall_ray	Draw the wall and its axis with radial method
yjk_arrange_petrodevice	<HelpRef>Superstructure Modeling Help\Upper modeling\Petrochemical frame equipment</HelpRef>         <RcImage Name="RCDATA_949" />       </MenuMacro>       <MenuMacro UID="ID_yjk_petrodeviceeditsupportnode">         <Command>yjk_petrodeviceeditsupportnode</Command>         <HelpString UID="XLS_0000">Change the support node of device
yjk_arrange_column_yz	<HelpRef>Superstructure Modeling Help\Upper Modeling Assembly Help\Specify precast Member</HelpRef>         <RcImage Name="RCDATA_826" />       </MenuMacro>       <MenuMacro UID="ID_yjk_arrange_beam_yz">         <Command>yjk_arrange_beam_yz</Command>         <HelpString UID="Arrange precast beams"/>         <HelpRef>Superstructure Modeling Help\Upper Modeling Assembly Help\Specify precast Member</HelpRef>         <RcImage Name="RCDATA_827" />       </MenuMacro>       <MenuMacro UID="ID_yjk_arrange_wall_yz">         <Command>yjk_arrange_wall_yz</Command>         <HelpString UID="Arrange precast walls"/>         <HelpRef>Superstructure Modeling Help\Upper Modeling Assembly Help\Specify precast Member</HelpRef>         <RcImage Name="RCDATA_834" />       </MenuMacro>       <MenuMacro UID="ID_yjk_arrange_Fillwall_yz">         <Command>yjk_arrange_Fillwall_yz</Command>         <HelpString UID="Arrange precast fillwalls"/>         <HelpRef>Superstructure Modeling Help\Upper Modeling Assembly Help\Specify precast Member</HelpRef>         <RcImage Name="RCDATA_828" />       </MenuMacro>       <MenuMacro UID="ID_yjkRecastModel_ImportTrussSlab">         <Command>yjkRecastModel_ImportTrussSlab</Command>         <HelpString UID="Import Laminated Board "/>         <HelpRef>Superstructure Modeling Help\Upper Modeling Assembly Help\Specify precast Member</HelpRef>         <RcImage Name="RCDATA_PRECASTSLAB" />       </MenuMacro>       <MenuMacro UID="ID_yjk_static_yz">         <Command>yjk_static_yz</Command>         <HelpString UID="precast rate statistics excel output "/>         <HelpRef>Superstructure Modeling Help\Upper Modeling Assembly Help\Assembly rate</HelpRef>         <RcImage Name="RCDATA_750" />       </MenuMacro>       <MenuMacro UID="ID_yjk_static_yzAll">         <Command>yjk_static_yzAll</Command>         <HelpString UID="The overall building precast rate statistics excel output "/>         <HelpRef>Superstructure Modeling Help\Upper Modeling Assembly Help\Assembly rate</HelpRef>         <RcImage Name="RCDATA_750" />       </MenuMacro>       <MenuMacro UID="ID_yjk_static_Set">         <Command>yjk_static_yzset</Command>         <HelpString UID="precast statistics parameter setting "/>         <HelpRef>Superstructure Modeling Help\Upper Modeling Assembly Help\Assembly rate</HelpRef>         <RcImage Name="RCDATA_301" />       </MenuMacro>       <MenuMacro UID="ID_yjk_static_beam_yz">         <Command>yjk_static_beam_yz</Command>         <HelpString UID="XLS_0000"/>         <!--<HelpString UID="Arrange precast beams"/>-->         <RcImage Name="RCDATA_EDITHATCH" />       </MenuMacro>       <MenuMacro UID="ID_yjk_static_wall_yz">         <Command>yjk_static_wall_yz</Command>         <HelpString UID="XLS_0000"/>         <!--<HelpString UID="Arrange precast walls"/>-->         <RcImage Name="RCDATA_EDITHATCH" />       </MenuMacro>       <MenuMacro UID="ID_yjk_delete_yz">         <Command>yjk_delete_yz</Command>         <HelpString UID="Delete precast elements"/>         <HelpRef>Superstructure Modeling Help\Upper Modeling Assembly Help\Specify precast Member</HelpRef>         <RcImage Name="RCDATA_417" />       </MenuMacro>       <MenuMacro UID="ID_yjk_MergeYzgjChanged">         <Command>yjk_MergeYzgjChanged</Command>         <HelpString UID="Combine precast Members in construction drawing editing"/>         <HelpRef>Superstructure Modeling Help\Upper Modeling Assembly Help\Specify precast Member</HelpRef>         <RcImage Name="RCDATA_303" />       </MenuMacro>       <MenuMacro UID="ID_yjk_arrange_WallYMJ">         <Command>yjk_arrange_WallYMJ</Command>         <HelpString UID=""/>         <HelpRef>Superstructure Modeling Help\Upper Modeling Assembly Help\Embedded part</HelpRef>         <RcImage Name="RCDATA_SLABHOLE" />       </MenuMacro>       <MenuMacro UID="ID_yjk_delete_WallYMJ">         <Command>yjk_delete_WallYMJ</Command>         <HelpString UID=""/>         <HelpRef>Superstructure Modeling Help\Upper Modeling Assembly Help\Embedded part</HelpRef>         <RcImage Name="RCDATA_WALL_UD_ALIGN" />       </MenuMacro>       <MenuMacro UID="ID_pcg_ArrangePcColumn">         <Command>dtlPcG_ArrangePcColumn</Command>         <HelpString UID="Arrange precast columns"/>         <HelpRef>Superstructure Modeling Help\Upper Modeling Assembly Help\Specify precast Member</HelpRef>         <RcImage Name="RCDATA_826" />       </MenuMacro>       <MenuMacro UID="ID_pcg_ArrangePcBeam">         <Command>dtlPcG_ArrangePcBeam</Command>         <HelpString UID="Arrange precast beams"/>         <HelpRef>Superstructure Modeling Help\Upper Modeling Assembly Help\Specify precast Member</HelpRef>         <RcImage Name="RCDATA_827" />       </MenuMacro>       <MenuMacro UID="ID_pcg_ArrangePcwall">         <Command>dtlPcG_ArrangePcWall</Command>         <HelpString UID="Arrange precast walls"/>         <HelpRef>Superstructure Modeling Help\Upper Modeling Assembly Help\Specify precast Member</HelpRef>         <RcImage Name="RCDATA_834" />       </MenuMacro>       <MenuMacro UID="ID_pcg_ArrangePcFillwall">         <Command>dtlPcG_ArrangePcFillWall</Command>         <HelpString UID="Arrange precast fillwalls"/>         <HelpRef>Superstructure Modeling Help\Upper Modeling Assembly Help\Specify precast Member</HelpRef>         <RcImage Name="RCDATA_828" />       </MenuMacro>       <MenuMacro UID="ID_pcg_StatPcFloor">         <Command>dtlPcG_StatPcFloor</Command>         <HelpString UID="The precast rate statistics excel output about this floor"/>         <HelpRef>Superstructure Modeling Help\Upper Modeling Assembly Help\Assembly rate</HelpRef>         <RcImage Name="RCDATA_750" />       </MenuMacro>       <MenuMacro UID="ID_pcg_StatPcAll">         <Command>dtlPcG_StatPcAll</Command>         <HelpString UID="The overall building precast rate statistics excel output"/>         <HelpRef>Superstructure Modeling Help\Upper Modeling Assembly Help\Assembly rate</HelpRef>         <RcImage Name="RCDATA_750" />       </MenuMacro>       <MenuMacro UID="ID_pcg_CopyYzgjBetweenFlr">         <Command>dtlPcG_CopyYzgjBetweenFlr</Command>         <HelpString UID="XLS_0000">Copy the layout information of the precast Members of this layer to other standard layers
dtlPcG_StatSetting	<HelpRef>Superstructure Modeling Help\Upper Modeling Assembly Help\Assembly rate</HelpRef>         <RcImage Name="RCDATA_301" />       </MenuMacro>       <MenuMacro UID="ID_pcg_StatPcBeam">         <Command>dtlPcG_StatPcBeam</Command>         <HelpString UID="XLS_0000"/>         <!--<HelpString UID="Precast beams statistics"/>-->         <RcImage Name="RCDATA_EDITHATCH" />       </MenuMacro>       <MenuMacro UID="ID_pcg_StatPcWall">         <Command>dtlPcG_StatPcWall</Command>         <HelpString UID="XLS_0000"/>         <!--<HelpString UID="Precast walls statistics"/>-->         <RcImage Name="RCDATA_EDITHATCH" />       </MenuMacro>       <MenuMacro UID="ID_pcg_DeleteYzgj">         <Command>dtlPcG_DeleteYzgj</Command>         <HelpString UID="Delete precast elements"/>         <HelpRef>Superstructure Modeling Help\Upper Modeling Assembly Help\Specify precast Member</HelpRef>         <RcImage Name="RCDATA_417" />       </MenuMacro>       <MenuMacro UID="ID_pcg_MergeYzgjChanged">         <Command>dtlPcG_MergeYzgjChanged</Command>         <HelpString UID="Combine precast Members in construction drawing editing"/>         <HelpRef>Superstructure Modeling Help\Upper Modeling Assembly Help\Specify precast Member</HelpRef>         <RcImage Name="RCDATA_303" />       </MenuMacro>       <MenuMacro UID="ID_pcg_ArrangeWallYMJ">         <Command>dtlPcG_ArrangeWallYMJ</Command>         <HelpString UID=""/>         <HelpRef>Superstructure Modeling Help\Upper Modeling Assembly Help\Embedded part</HelpRef>         <RcImage Name="RCDATA_SLABHOLE" />       </MenuMacro>       <MenuMacro UID="ID_pcg_DeleteWallYMJ">         <Command>dtlPcG_DeleteWallYMJ</Command>         <HelpString UID=""/>         <HelpRef>Superstructure Modeling Help\Upper Modeling Assembly Help\Embedded part</HelpRef>         <RcImage Name="RCDATA_WALL_UD_ALIGN" />       </MenuMacro>       <MenuMacro UID="ID_pcg_ImportRevitHole">         <Command>dtlPcG_ImportRevitHole</Command>         <HelpString UID="XLS_0000">Reading embedded parts from Revit
dtlPcG_ImportRevitWallYMJ	Reading wall embedded parts from Revit
yjk_AutoTrussProp	Automatically assign members as top and bottom chords, web members, etc
yjk_SetTrussProp	Manually assign members as upper and lower chords, web members, etc
yjk_showbrace	ShowTruss
yjk_setsup	SetSupport
yjk_setdisp	SupportDisplacement
yjk_modelcheck	ModelCheck
yjk_check_cntbeam	Continuous beam check
yjk_AutoSetSpaceLoad	<HelpRef></HelpRef>         <RcImage Name="RCDATA_168" />       </MenuMacro>       <MenuMacro UID="ID_Add_GreenHouse">         <Command>YJK_greenHouse</Command>         <HelpString UID="XLS_0000">Greenhouse
