exportIFC_USDToIFC	导出IFC
y2dSpre_SPECBEAM_HINGE1	
y2dSpre_SPECBEAM_HINGE2	
y2dSpre_SPECBEAM_AUTOHINGE	
y2dSpre_SPECBEAM_SEMIHINGE	
y2dSpre_SPECBEAM_FIX2	
y2dSpre_SPECBEAM_SLIDE	
y2dSpre_SPECBEAM_MENGANG	
y2dSpre_SPECBEAM_HAONENG	
y2dSpre_SPECBEAM_GDZJ	
y2dSpre_SPECBEAM_GDXSW	
y2dSpre_SPECBEAM_GDXSS	
y2dSpre_SPECBEAM_NJZJ	
y2dSpre_SPECBEAM_TFSX	
y2dSpre_SPECBEAM_NGAP	
y2dSpre_SPECBEAM_LLXSTL	
y2dSpre_SPECBEAM_LLBRACE	
y2dSpre_SPECBEAM_LLDSTL	
y2dSpre_SPECBEAM_HSHELL	
y2dSpre_SPECBEAM_BSHELL	
y2dSpre_SPECBEAM_XYYWD	
y2dSpre_SPECBEAM_ROOFKEY	
y2dSpre_SPECBEAM_ZHLGEN	
y2dSpre_SPECBEAM_ZHLSET	
y2dSpre_SPECBEAM_SETENDRIG	
y2dSpre_SPECBEAM_DELENDRIG	
y2dSpre_SPECRIG_BEAM	
y2dSpre_SPECBEAM_SETCOMBBEAM	
y2dSpre_SPECBEAM_SETCOMBBEAMAUTO	
y2dSpre_SPECBEAM_SETCOMBBEAMALLAUTO	
y2dSpre_SPECBEAM_COMBBEAMBAR	
y2dSpre_SPECBEAM_DELCOMBBEAMBAR	
y2dSpre_SPECBEAM_DELCOMBBEAM	
y2dSpre_SPECBEAM_SETSHEARCON	
y2dSpre_SPECBEAM_DELSHEARCON	
y2dSpre_SPECSOLID_ALL	
y2dSpre_SPECVSEIS_ALL	
y2dSpre_SPECBEAM_SPACETYPE	
y2dSpre_SPECBEAM_CRANE	
y2dSpre_SPECBEAM_LLGBBH	
y2dSpre_SPECBEAM_KHBBOUND	
y2dSpre_SPECCOLUMN_JIAO	
y2dSpre_SPECCOLUMN_JIAOAUTO	
y2dSpre_SPECCOLUMN_ZH	
y2dSpre_SPECCOLUMN_MENGANG	
y2dSpre_SPECCOLUMN_KFZ	
y2dSpre_SPECCOLUMN_HINGE1	
y2dSpre_SPECCOLUMN_HINGE2	
y2dSpre_SPECCOLUMN_HINGEBOTH	
y2dSpre_SPECCOLUMN_FIXBOTH	
y2dSpre_SPECCOLUMN_SHEAR	
y2dSpre_SPECCOLUMN_ZYB	
y2dSpre_SPECCOLUMN_SPZH	
y2dSpre_SPECCOLUMN_SILO	
y2dSpre_SPECCOLUMN_TRUSSWEB	
y2dSpre_SPECCOLUMN_SETENDRIG	
y2dSpre_SPECCOLUMN_DELENDRIG	
y2dSpre_SPECRIG_COLUMN	
y2dSpre_SPECCOLUMN_SPACETYPE	
y2dSpre_SPECCOLUMN_ROOFKEY	
y2dSpre_SPECCOLUMN_STLBOUND	
y2dSpre_SPECCOLUMN_SEISCOEF	
y2dSpre_SPECBRACE_FIX2	
y2dSpre_SPECBRACE_FIX2FLR	
y2dSpre_SPECBRACE_FIX2ALL	
y2dSpre_SPECBRACE_HINGE1	
y2dSpre_SPECBRACE_HINGE2	
y2dSpre_SPECBRACE_HINGEBOTH	
y2dSpre_SPECBRACE_Y	
y2dSpre_SPECBRACE_X	
y2dSpre_SPECBRACE_SPZH	
y2dSpre_SPECBRACE_JIAO	
y2dSpre_SPECBRACE_ZH	
y2dSpre_SPECBRACE_TRUSSWEB	
y2dSpre_SPECBRACE_TRUSSCHORD	
y2dSpre_SPECBRACE_ROOFKEY	
y2dSpre_SPECBRACE_DEFDAMPER	
y2dSpre_SPECBRACE_ADDDAMPER	
y2dSpre_SPECBRACE_SETDAMPER	
y2dSpre_SPECBRACE_DELDAMPER	
y2dSpre_SPECBRACE_DISPDAMPER	
y2dSpre_SPECBRACE_SETENDRIG	
y2dSpre_SPECBRACE_DELENDRIG	
y2dSpre_SPECRIG_BRACE	
y2dSpre_SPECBRACE_SPACETYPE	
y2dSpre_SPECBRACE_TENSEBAR	
y2dSpre_SPECBRACE_COMPBAR	
y2dSpre_SPECBRACE_NODEWEI	
y2dSpre_SPECBRACE_STLBOUND	
y2dSpre_SPECWALL_LK	
y2dSpre_SPECWALL_OUT	
y2dSpre_SPECWALL_LKLOAD	
y2dSpre_SPECWALL_LLZJ	
y2dSpre_SPECWALL_LLZJW	
y2dSpre_SPECWALL_NGAP	
y2dSpre_SPECWALL_LLXSTL	
y2dSpre_SPECWALL_LLBRACE	
y2dSpre_SPECWALL_LLDSTL	
y2dSpre_SPECWALL_VROU	
y2dSpre_SPECWALL_HROU	
y2dSpre_SPECWALL_SHORT	
y2dSpre_SPECWALL_DUAL	
y2dSpre_SPECWALL_DXGD	
y2dSpre_SPECWALL_DXGD2	
y2dSpre_SPECWALL_ZXGDZJ	
y2dSpre_SPECWALL_LLGBBH	
y2dSpre_SPECWALL_BRW	
y2dSpre_SPECWALL_ASSLAB	
y2dSpre_SPECWALL_SETXBAR	
y2dSpre_SPECWALL_DELXBAR	
y2dSpre_SPECWALL_RIG	
y2dSpre_SPECSLAB_RIG	
y2dSpre_SPECSLAB_3	
y2dSpre_SPECSLAB_6	
y2dSpre_SPECSLAB_M	
y2dSpre_SPECSLAB_S	
y2dSpre_SPECSLAB_LCS	
y2dSpre_SPECSLAB_BASE	
y2dSpre_SPECSLAB_ALL3	
y2dSpre_SPECSLAB_ALL6	
y2dSpre_SPECSLAB_ALLM	
y2dSpre_SPECSLAB_ALLBD3	
y2dSpre_SPECSLAB_ALLBD6	
y2dSpre_SPECSLAB_ALLBDM	
y2dSpre_SPECSLAB_PLANARRIG	
y2dSpre_SPECNODE_ADDM	
y2dSpre_SPECNODE_LCS	
y2dSpre_SPECNODE_CONS1	
y2dSpre_SPECNODE_CONS1EX	
y2dSpre_SPECNODE_CONS2	
y2dSpre_SPECNODE_SUP	
y2dSpre_SPECNODE_DSP	
y2dSpre_SPECNODE_DELLCS	
y2dSpre_SPECNODE_DELCONS	
y2dSpre_SPECNODE_DELDSP	
y2dSpre_SPECKZDJ_BE	
y2dSpre_SPECKZDJ_BEM	
y2dSpre_SPECKZDJ_BES	
y2dSpre_SPECKZDJ_CL	
y2dSpre_SPECKZDJ_BR	
y2dSpre_SPECKZDJ_WA	
y2dSpre_SPECKZDJ_BEGZ	
y2dSpre_SPECKZDJ_BEMGZ	
y2dSpre_SPECKZDJ_BESGZ	
y2dSpre_SPECKZDJ_CLGZ	
y2dSpre_SPECKZDJ_BRGZ	
y2dSpre_SPECKZDJ_WAGZ	
y2dSpre_SPECUSDC_BE	
y2dSpre_SPECUSDC_MAIN	
y2dSpre_SPECUSDC_SUB	
y2dSpre_SPECUSDC_CL	
y2dSpre_SPECUSDC_BR	
y2dSpre_SPECUSDC_WA	
y2dSpre_SPECMAT_BE	
y2dSpre_SPECMAT_CL	
y2dSpre_SPECMAT_CLDHZ	
y2dSpre_SPECMAT_BR	
y2dSpre_SPECMAT_BRDHZ	
y2dSpre_SPECMAT_WA	
y2dSpre_SPECETA_BE	
y2dSpre_SPECETA_CL	
y2dSpre_SPECETA_BR	
y2dSpre_SPECETA_WB	
y2dSpre_SPECETA_WC	
y2dSpre_SPECETA_DELFLR	
y2dSpre_SPECETA_DELALL	
y2dSpre_SPECPB_BE	
y2dSpre_SPECPB_CL	
y2dSpre_SPECPB_BR	
y2dSpre_SPECPB_WB	
